filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,22.22%,9/14 (64.29%),4.78,0.44,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),7,77.78%,9/14 (64.29%),4.78,0.44,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,8/14 (57.14%),4.63,0.74,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,8/14 (57.14%),4.63,0.74,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,12.50%,8/14 (57.14%),4.63,0.74,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),1,12.50%,8/14 (57.14%),4.63,0.74,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),6,75.00%,8/14 (57.14%),4.63,0.74,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,9/14 (64.29%),4.78,0.44,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,9/14 (64.29%),4.78,0.44,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,9/14 (64.29%),4.78,0.44,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),2,22.22%,9/14 (64.29%),4.78,0.44,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),7,77.78%,9/14 (64.29%),4.78,0.44,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Strongly disagree,(1),4,44.44%,9/14 (64.29%),1.89,1.05,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Disagree,(2),3,33.33%,9/14 (64.29%),1.89,1.05,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Neither agree nor disagree,(3),1,11.11%,9/14 (64.29%),1.89,1.05,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Agree,(4),1,11.11%,9/14 (64.29%),1.89,1.05,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Strongly agree,(5),0,0.00%,9/14 (64.29%),1.89,1.05,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),1,11.11%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),5,55.56%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),0,0.00%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),3,33.33%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),0,0.00%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),0,0.00%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),0,0.00%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Fall_2023.html,Fall 2023,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,9/14 (64.29%),2.56,1.13,2.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,13/17 (76.47%),4.62,0.65,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,13/17 (76.47%),4.62,0.65,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,7.69%,13/17 (76.47%),4.62,0.65,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,23.08%,13/17 (76.47%),4.62,0.65,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),9,69.23%,13/17 (76.47%),4.62,0.65,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,13/17 (76.47%),4.69,0.63,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,13/17 (76.47%),4.69,0.63,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,7.69%,13/17 (76.47%),4.69,0.63,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),2,15.38%,13/17 (76.47%),4.69,0.63,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),10,76.92%,13/17 (76.47%),4.69,0.63,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,12/17 (70.59%),4.83,0.39,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,12/17 (70.59%),4.83,0.39,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,12/17 (70.59%),4.83,0.39,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),2,16.67%,12/17 (70.59%),4.83,0.39,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),10,83.33%,12/17 (70.59%),4.83,0.39,5.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Strongly disagree,(1),1,7.69%,13/17 (76.47%),2.92,1.19,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Disagree,(2),4,30.77%,13/17 (76.47%),2.92,1.19,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Neither agree nor disagree,(3),5,38.46%,13/17 (76.47%),2.92,1.19,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Agree,(4),1,7.69%,13/17 (76.47%),2.92,1.19,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,8,The course was difficult.,Strongly agree,(5),2,15.38%,13/17 (76.47%),2.92,1.19,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),4,30.77%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),5,38.46%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),2,15.38%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),2,15.38%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),0,0.00%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),0,0.00%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,13/17 (76.47%),3.15,1.07,3.00
CULANTH-221SL-01L_Wesolowski__Katya_Spring_2025.html,Spring 2025,CULANTH-221SL-01L : CAPOEIRA: PRACTICE AND CULTURE.CULANTH-221SL-01L.AAAS-221SL-01L.DANCE-235SL-01L.ROMST-235SL-01L.,Katya Wesolowski,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,13/17 (76.47%),3.15,1.07,3.00
